script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage male
3694,What Lies Beneath,2000,250,m,f,m,8754,4668,65%,35%
3701,The Whistleblower,2010,1,f,m,f,5586,3166,64%,36%
3717,Wild Hogs,2007,212,m,f,m,1510,18397,8%,92%
3726,Win Win,2011,11,m,f,m,3421,9834,26%,74%
3737,The Wolf of Wall Street,2013,125,m,m,m,1431,15721,8%,92%
3746,The Wrestler,2008,31,m,m,m,3392,7132,32%,68%
3752,X-Men,2000,253,m,m,m,850,4175,17%,83%
3759,Yes Man,2008,118,m,m,m,6128,18164,25%,75%
3765,Youth in Revolt,2009,17,m,f,m,10756,23054,32%,68%
3766,Zero Dark Thirty,2012,104,m,f,f,5064,8152,38%,62%
3770,50/50,2011,38,m,f,m,2209,5617,28%,72%
3776,Thir13en Ghosts,2001,64,m,m,m,2023,4959,29%,71%
3784,28 Days,2000,59,f,f,f,1705,699,71%,29%
3789,3:10 to Yuma,2007,67,m,m,m,145,5699,2%,98%
3805,Adventureland,2009,18,m,m,m,2414,6619,27%,73%
3816,Alice in Wonderland,2010,368,f,f,m,3515,1883,65%,35%
3850,Animal Kingdom,2010,1,m,m,m,2051,6649,24%,76%
3862,Armored,2009,18,m,m,m,0,4500,0%,100%
3872,Atonement,2007,64,m,m,m,3379,2740,55%,45%
3892,Barney's Version,2010,8,m,m,m,3448,7539,31%,69%
3918,Below,2002,0,m,m,m,1301,7161,15%,85%
3920,Beowulf,2007,103,m,m,m,1433,4940,22%,78%
3947,Blue Valentine,2010,10,m,m,m,2694,5025,35%,65%
3951,Boiler Room,2000,27,m,m,m,1465,13596,10%,90%
3952,The Boondock Saints II: All Saints Day,2009,11,m,m,m,2397,7359,25%,75%
3959,The Brave One,2007,46,m,m,m,2603,2557,50%,50%
3966,Bright Star,2009,5,f,f,f,4452,4508,50%,50%
3970,Brooklyn's Finest,2009,31,m,m,m,1041,6233,14%,86%
3972,Brothers,2009,33,m,m,m,3002,5589,35%,65%
3973,The Bucket List,2007,118,m,m,m,965,10115,9%,91%
4008,Children of Men,2006,46,m,m,m,2339,5282,31%,69%
4012,Chocolat,2000,115,f,m,m,3254,3224,50%,50%
4040,Conviction,2010,7,f,m,m,5231,2166,71%,29%
4042,Cop Out,2010,49,m,m,m,307,9939,3%,97%
4047,Crash,2004,76,m,m,m,2552,8110,24%,76%
4049,The Crazies,2010,43,m,m,m,898,2781,24%,76%
4065,Dallas Buyers Club,2013,29,m,m,m,1138,6225,15%,85%
4087,Daybreakers,2009,34,m,m,m,891,3898,19%,81%
4105,Despicable Me,2010,277,m,f,m,1368,3576,28%,72%
4109,The Devil Wears Prada,2006,166,f,m,m,8729,2741,76%,24%
4115,Dinner for Schmucks,2010,80,m,m,m,1386,7341,16%,84%
4117,The Diving Bell and the Butterfly,2007,7,m,m,m,2541,4911,34%,66%
4121,Domino,2005,13,m,m,m,5945,4437,57%,43%
4137,The Duchess,2008,16,m,f,m,4727,2982,61%,39%
4150,Edge of Darkness,2010,47,m,m,m,701,11243,6%,94%
4157,Pan's Labyrinth,2006,49,m,m,m,1753,2262,44%,56%
4169,Erin Brockovich,2000,203,f,m,m,9126,5659,62%,38%
4185,The Expendables,2010,113,m,m,m,727,6963,9%,91%
4199,Far from Heaven,2002,23,m,m,m,6403,3434,65%,35%
4208,The Fifth Estate,2013,3,m,m,m,1487,8702,15%,85%
4220,Flightplan,2005,121,m,m,m,2691,2526,52%,48%
4221,For Colored Girls,2010,41,m,m,m,10597,1580,87%,13%
4251,Fun with Dick and Jane,2005,149,m,m,m,832,1082,43%,57%
4260,Get Him to the Greek,2010,67,m,m,m,1154,11164,9%,91%
4306,Green Zone,2010,38,m,f,m,750,6862,10%,90%
4311,Halloween,2007,73,m,m,m,2875,1827,61%,39%
4339,Harry Potter and the Half-Blood Prince,2009,350,f,m,m,2249,10693,17%,83%
4341,Hate Crime,2012,,m,m,m,217,4900,4%,96%
4352,Her,2013,27,m,f,m,5216,5009,51%,49%
4361,Hitchcock,2012,6,m,m,m,2378,5300,31%,69%
4365,Holes,2003,97,m,m,m,829,6583,11%,89%
4373,Hot Rod,2007,17,f,m,m,1793,10634,14%,86%
4379,How Do You Know,2010,33,m,f,m,5179,7217,42%,58%
4392,I Am Legend,2007,323,m,m,m,1383,5654,20%,80%
4397,Identity,2003,74,m,m,m,1230,3140,28%,72%
4399,Idiocracy,2006,0,m,f,m,1668,6829,20%,80%
4403,In Good Company,2004,63,m,f,m,1765,7656,19%,81%
4404,In Her Shoes,2005,44,f,f,m,8498,1622,84%,16%
4422,The Informant!,2009,38,m,m,m,649,11609,5%,95%
4440,It's Kind of a Funny Story,2010,7,f,m,f,1613,7321,18%,82%
4453,Jeepers Creepers II,2003,50,m,m,m,1157,4827,19%,81%
4474,Kill Bill (Pt 1+2),2003,101,m,m,m,6797,6710,50%,50%
4477,Kill Your Darlings,2013,1,m,m,m,476,5574,8%,92%
4525,Letters to Juliet,2010,58,m,f,m,5078,4128,55%,45%
4539,Little Children,2006,7,m,m,m,2891,2962,49%,51%
